CHILDID,X4PRNCON,X4PRNSOC,X4PRNSAD,X4PRNIMP,X4TCHCON,X4TCHPER,X4TCHEXT,X4TCHINT
10000464,3.4,3.67,1.25,1.5,2.75,3,1.5,1
10000465,2.6,3,1,1,3.5,3.2,1,1.75
10000466,3,3,1.75,2, , , , 
10000467,3.2,3.33,2.25,1.5,3.25,3.6,1.5,1.25
10000468,2.4,2.67,1.75,2.5,3,2.8,1,1.25
10000469, , , , , , , , 
10000470,3,4,1.25,1,4,4,1.33,1
10000471, , , , , , , , 
10000472,3,4,1.25,3,3.75,3.6,1.83,1.25
10000473,3.8,3,1,1,3,3,2.33,2.33
10000474,2.8,4,1.75,3,2,2,3.17, 
10000475, , , , ,4,3.75,1.33,1.25
10000476,2.4,3.33,1.5,2,3.25,3.2,1.5,1
10000477,2.2,4,1.25,2,3.75,4,1.8,1.5
10000478,3.8,4,1.25,2.5,3,3.4,1.83,2
10000479,2.4,4,2,3, , , , 
10000480,3.4,4,1,1.5,4,4,1.17,1.25
10000481,2.8,3,2,2,3.75,3.8,1,1.25
10000482, , , , , , , , 
10000483,3.4,3.67,1,1.5,4,4,1.5,1.5
10000484,3.6,3.67,2,1.5,4,3.8,1.17,1.25
10000485,3,4,1.25,2,4,3.8,1.33,1.25
10000486,3.2,3,1.25,1,2.75,2.4,1.83,2
10000487,3.6,1.67,2.25,1,3.75,3.6,1.33,2
10000488,3.8,2.33,2.5, ,3.5,3,1.83,2
10000489,2.4,3,2.5,3,3.25,2.8,1.67,1.5
10000490,3.2,3.33,1.25,2,2.75,2.8,2,1.25
10000491,3.2,4,1.25,2.5, , , , 
10000492, , , , ,3.25,3,1.5,1
10000493,3.4,2,1.5,1.5,3.5,3.6,1,1.75
10000494,2,3.33,1.25,2,3.75,3.8,1,1.25
10000495,3,3.67,1.25,1.5,3.5,3.6,1.17,1
10000496,3.2,3.33,1.25,1.5,3,2.6,1.67,1.5
10000497,3.4,3.67,1.5,1,4,3.8,1.5,1
10000498, , , , , , , , 
10000499,3,3,2,2,3.67,3.4, ,1.5
10000500,3,3,1.25,2, ,4,1,1
10000501, , , , , , , , 
10000502,3.2,4,2.5,3,3.5,3.2,2.17,1
10000503,3,2.67,1.25,2, , , , 
10000504, , , , ,2.75,3,2.67,1.25
10000505,3.6,4,1.25,2, , , , 
10000506, , , , , , , , 
10000507,3.2,4,1.25,2.5,3.75,4,1,1.25
10000508,1.8,3.67,2,2.5,1.75,2.4,2.33,1.75
10000509,3.4,4,2,1,3,2.8,1.67,1.5
10000510,2.8,4,1.5,2.5,3.5,4,2.17,1.25
10000511,3.2,3.33,1.5,1.5,3.5,3.6,1.83,1.25
10000512,2.6,4,1.5,2,3.5,3.4,1.33,1
10000513,3.2,3.33,2,1.5,2.5,2.2,2.17,3.25
10000514,2.8,3.67,1.5,1.5,2.75,2.75,2.33,1.25
10000515,3.8,4,1,2,3,2.8,2,1
10000516,2.2,3,1.5,3.5, , , , 
10000517,3.2,3.67,1,2.5,3.75,3.6,1.33,1.75
10000518,4,3.33,1,1,3.5,3.6,1.33,1
10000519,3.6,4,1.25,3,3.25,3.4,2,1.25
10000520,3.6,3.33,1.25,1.5,2,2,2.5,1.5
10000521,3.8,4,1.25,1,3.75,4,1.67,1
10000522,2.8,3,1,2,3.75,4,1.17,1
10000523,3.2,3.67,1.5,1,2.75,2.2,1.67,1.25
10000524, , , , ,3.25,2.8,1,1.25
10000525, , , , ,3.25,3.25,1.5,1.25
10000526,3.4,3,1.25,1.5,4,3.6,1,1.5
10000527,3.6,3.33,1,1.5, , , , 
10000528,3.8,3.33,1.5,2,4,4,1,1
10000529,2.4,2.67,1.75,1.5,2.75,2.2,3.17,2.5
10000530,3.2,3,1,2, , , , 
10000531,3.2,2.67,1,1.5,2,1.4,2.33,1.75
10000532, , , , ,4,3.6,1.5,1
10000533,3.4,4,1.25,1.5,4,4,2.17,1.5
10000534,2.8,3.67,1,2,3.25,3.8,1.5,1.75
10000535,3.2,4,1.25,1.5,4,4,1.17,1
10000536,3.2,3.33,1.5,1.5,3.5,3.2,1,1.5
